"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"B05012_001E","Estimate!!Total:"
"B05012_001M","Margin of Error!!Total:"
"B05012_001MA","Annotation of Margin of Error!!Total:"
"B05012_001EA","Annotation of Estimate!!Total:"
"B05012_002E","Estimate!!Total:!!Native"
"B05012_002EA","Annotation of Estimate!!Total:!!Native"
"B05012_002M","Margin of Error!!Total:!!Native"
"B05012_002MA","Annotation of Margin of Error!!Total:!!Native"
"B05012_003E","Estimate!!Total:!!Foreign-Born"
"B05012_003M","Margin of Error!!Total:!!Foreign-Born"
"B05012_003MA","Annotation of Margin of Error!!Total:!!Foreign-Born"
"B05012_003EA","Annotation of Estimate!!Total:!!Foreign-Born"
